# PMU_padrao on SAPHO - cocotb fast sim results
# A=1 f1=62 Hz f0=60 Hz Fs=1920 Hz Fr=60 Hz phi=0.7853981634 rad N=1600 Q20
# TVE compares y_hw[n] against X[n-82] (FIR group delay); '-' while n < 82
#      n         x[n]        Re_hw        Im_hw       abs_hw     fase_deg        fe_hw     ROCOF_hw    TVE_pct
     175    0.1628955    0.1217499    0.6908197    0.7014663    80.004849   61.9935760   -0.0713348    0.82901
     176    0.3583679    0.1174603    0.6919394    0.7018383    80.365592   61.9237823   -0.0697937    0.77171
     177    0.5391383    0.1132765    0.6929121    0.7021102    80.715480   61.8662109   -0.0575714    0.72393
     178    0.6977905    0.1091442    0.6937056    0.7022392    81.058663   61.8302917   -0.0359192    0.69590
     179    0.8278156    0.1050014    0.6943092    0.7022041    81.400238   61.8218994   -0.0083923    0.69473
     180    0.9238795    0.1007853    0.6947393    0.7020117    81.745732   61.8423462    0.0204468    0.72059
     181    0.9820411    0.0964460    0.6950302    0.7016900    82.099788   61.8883057    0.0459595    0.76730
     182    0.9999143    0.0919514    0.6952400    0.7012943    82.465875   61.9523163    0.0640106    0.82414
     183    0.9767659    0.0872936    0.6954308    0.7008881    82.845394   62.0243073    0.0719910    0.88096
     184    0.9135455    0.0824881    0.6956635    0.7005369    83.237747   62.0923920    0.0680847    0.92937
     185    0.8128467    0.0775747    0.6959867    0.7002966    83.640059   62.1454773    0.0530853    0.96345
     186    0.6788007    0.0726099    0.6964340    0.7002089    84.047872   62.1750793    0.0296021    0.97904
     187    0.5169069    0.0676565    0.6970119    0.7002878    84.455867   62.1759033    0.0008240    0.97452
     188    0.3338069    0.0627756    0.6977005    0.7005189    84.858656   62.1481628   -0.0277405    0.95059
     189    0.1370123    0.0580168    0.6984577    0.7008631    85.251677   62.0961456   -0.0520172    0.91001
     190   -0.0654031    0.0534086    0.6992331    0.7012698    85.632131   62.0288086   -0.0673370    0.85682
     191   -0.2651354    0.0489578    0.6999569    0.7016670    85.999017   61.9567261   -0.0720825    0.79895
     192   -0.4539905    0.0446444    0.7005730    0.7019940    86.353729   61.8918152   -0.0649109    0.74522
     193   -0.6242205    0.0404263    0.7010317    0.7021963    86.699591   61.8445129   -0.0473022    0.70645
     194   -0.7688418    0.0362473    0.7013054    0.7022415    87.041277   61.8223267   -0.0221863    0.69179
     195   -0.8819213    0.0320435    0.7013912    0.7021228    87.384229   61.8289337    0.0066071    0.70502
     196   -0.9588197    0.0277557    0.7013092    0.7018582    87.733586   61.8632355    0.0343018    0.74281
     197   -0.9963825    0.0233374    0.7011032    0.7014915    88.093520   61.9196930    0.0564575    0.79600
     198   -0.9930685    0.0187616    0.7008314    0.7010825    88.466527   61.9892731    0.0695801    0.85395
     199   -0.9490136    0.0140276    0.7005558    0.7006962    88.852890   62.0606689    0.0713959    0.90740
     200   -0.8660254    0.0091572    0.7003355    0.7003954    89.250876   62.1223145    0.0616455    0.94914
     201   -0.7475083    0.0041962    0.7002201    0.7002327    89.656651   62.1641235    0.0418091    0.97370
     202   -0.5983246   -0.0007963    0.7002268    0.7002272    90.065158   62.1791534    0.0150299    0.97947
     203   -0.4245945   -0.0057592    0.7003651    0.7003887    90.471144   62.1649628   -0.0141907    0.96464
     204   -0.2334454   -0.0106306    0.7006044    0.7006851    90.869310   62.1238708   -0.0410919    0.93152
     205   -0.0327191   -0.0153685    0.7009020    0.7010705    91.256106   62.0627441   -0.0611267    0.88355
     206    0.1693495   -0.0199480    0.7011967    0.7014804    91.629540   61.9913635   -0.0713806    0.82695
     207    0.3644705   -0.0243692    0.7014246    0.7018478    91.989798   61.9216309   -0.0697327    0.77005
     208    0.5446390   -0.0286598    0.7015314    0.7021166    92.339416   61.8646545   -0.0569763    0.72265
     209    0.7024637   -0.0328655    0.7014723    0.7022418    92.682472   61.8295593   -0.0350952    0.69524
     210    0.8314696   -0.0370464    0.7012234    0.7022013    93.024190   61.8220978   -0.0074615    0.69502
     211    0.9263644   -0.0412645    0.7007885    0.7020023    93.369857   61.8434906    0.0213928    0.72193
     212    0.9832549   -0.0455770    0.7001972    0.7016790    93.724228   61.8901062    0.0466156    0.76891
